,id
456,37309
457,24148
458,24149
459,49162
460,59959
461,59958
462,54279
463,59951
464,59950
465,59953
466,37079
467,59955
468,59954
469,59957
470,59956
471,37076
472,37077
473,24865
474,11845
475,33754
476,33753
477,37073
478,11841
479,24864
480,11840
481,52468
482,52469
483,55218
484,30335
485,30336
486,30337
487,30330
488,24866
489,30332
490,15161
491,30338
492,30339
493,7566
494,15163
495,44804
496,30222
497,43059
498,44807
499,30223
500,52460
501,44806
502,30220
503,17251
504,44801
505,30221
506,52462
507,44800
508,52463
509,44803
510,52464
511,7561
512,52465
513,52466
514,52467
515,35218
516,35219
517,53563
518,35214
519,35216
520,35217
521,35210
522,10709
523,35212
524,35213
525,23266
526,23267
527,23264
528,23265
529,23262
530,23263
531,23260
532,23261
533,23268
534,23269
535,8803
536,50039
537,50038
538,9256
539,9257
540,9254
541,43859
542,43858
543,43853
544,9252
545,43851
546,43850
547,43856
548,43855
549,43854
550,9250
551,53074
552,9251
553,6778
554,6779
555,44663
556,6774
557,6775
558,6776
559,6777
560,6770
561,6771
562,6772
563,6773
564,50037
565,21619
566,50036
567,46796
568,55209
569,44662
570,55208
571,32608
572,21615
573,32609
574,49564
575,21617
576,21616
577,21611
578,21610
579,29348
580,55201
581,21613
582,32603
583,49562
584,32600
585,44664
586,32601
587,61479
588,53064
589,55204
590,55207
591,55206
592,58460
593,49167
594,18583
595,42810
596,42811
597,42812
598,42813
599,42814
600,42815
601,42816
602,42817
603,42818
604,1222
605,5058
606,5059
607,18582
608,5054
609,5055
610,5056
611,5057
612,5050
613,5051
614,5052
615,5053
616,38569
617,38561
618,38562
619,38564
620,22291
621,18893
622,18892
623,18891
624,18890
625,18897
626,18896
627,18895
628,18894
629,18899
630,18898
631,15903
632,19090
633,38876
634,48129
635,44221
636,44220
637,44223
638,44222
639,44225
640,44224
641,44227
642,44226
643,44229
644,36175
645,36176
646,36177
647,36170
648,36171
649,38875
650,36173
651,18769
652,18768
653,33528
654,33529
655,18761
656,18760
657,18763
658,18762
659,33520
660,33521
661,33522
662,33523
663,41543
664,41542
665,41541
666,41540
667,41547
668,41546
669,41545
670,41544
671,41549
672,41548
673,55551
674,1178
675,19093
676,44790
677,38873
678,52381
679,42594
680,38872
681,52380
682,54226
683,58541
684,58078
685,8035
686,8034
687,8037
688,8036
689,8031
690,8030
691,8033
692,8032
693,48167
694,8039
695,8038
696,58075
697,12589
698,12588
699,38870
700,58074
701,12583
702,12582
703,12581
704,12580
705,12587
706,12586
707,12585
708,12584
709,44913
710,44912
711,44911
712,44910
713,44917
714,44916
715,44915
716,44914
717,54064
718,58071
719,44919
720,44918
721,58070
722,55554
723,58073
724,58072
725,18343
726,46180
727,58542
728,54065
729,39467
730,19256
731,13989
732,11768
733,13984
734,13985
735,13986
736,13987
737,13980
738,13981
739,13982
740,13983
741,48126
742,11769
743,38976
744,18340
745,38977
746,48127
747,58547
748,19254
749,13678
750,38975
751,43338
752,43339
753,13672
754,13673
755,13670
756,43335
757,43332
758,13677
759,13674
760,22747
761,16002
762,16003
763,16000
764,16001
765,16006
766,22744
767,16004
768,16005
769,5865
770,5864
771,16008
772,5866
773,5861
774,5860
775,19255
776,5862
777,56842
778,56843
779,56840
780,56841
781,56846
782,17358
783,56844
784,56845
785,17355
786,17354
787,56848
788,56849
789,17351
790,17350
791,17353
792,17352
793,60258
794,60259
795,60256
796,60257
797,60254
798,60255
799,60252
800,60253
801,60250
802,60251
803,54143
804,43008
805,33037
806,19588
807,19589
808,19586
809,19587
810,19584
811,19585
812,19582
813,19583
814,19580
815,19581
816,60784
817,60785
818,60786
819,52698
820,20869
821,60781
822,60782
823,60783
824,52693
825,52692
826,52691
827,20866
828,60788
829,60789
830,18344
831,20862
832,33034
833,16114
834,16115
835,5935
836,49158
837,49159
838,5934
839,49150
840,16110
841,49152
842,49153
843,49154
844,49155
845,49156
846,5932
847,45639
848,45638
849,48209
